地區,特約類別,院所代碼,醫院名稱,急診轉住院案件數,暫留逾48小時案件數,院所指標值(%)
新北市泰山區,區域醫院,1331160010,輔仁大學學校財團法人輔仁大學附設醫院,1575,429,27.24
臺北市中正區,醫學中心,0401180014,國立臺灣大學醫學院附設醫院,5246,1361,25.94
臺北市大安區,區域醫院,0401020013,國立臺灣大學醫學院附設醫院癌醫中心分院,484,119,24.59
新北市土城區,區域醫院,1131130018,新北市立土城醫院（委託長庚醫療財團法人興建經營）,1548,355,22.93
臺北市文山區,醫學中心,1301200010,臺北市立萬芳醫院－委託臺北醫學大學辦理,1968,449,22.82
新北市新店區,區域醫院,1231050017,天主教耕莘醫療財團法人耕莘醫院,1624,336,20.69
雲林縣斗六市,區域醫院,0439010518,國立臺灣大學醫學院附設醫院雲林分院,2825,516,18.27
新北市三峽區,區域醫院,1131090019,行天宮醫療志業醫療財團法人恩主公醫院,1896,322,16.98
新北市中和區,醫學中心,1331040513,衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉,3732,575,15.41
臺北市士林區,醫學中心,1101150011,新光醫療財團法人新光吳火獅紀念醫院,2298,338,14.71
臺北市內湖區,醫學中心,0501110514,三軍總醫院附設民眾診療服務處,4484,610,13.6
新竹市北區,醫學中心,0412040012,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,1970,208,10.56
臺北市北投區,醫學中心,0601160016,臺北榮民總醫院,5773,517,8.96
臺北市中山區,醫學中心,1101100011,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,6053,450,7.43
新北市汐止區,區域醫院,1131110516,國泰醫療財團法人汐止國泰綜合醫院,1329,58,4.36
臺北市信義區,區域醫院,1301170017,臺北醫學大學附設醫院,2034,80,3.93
新北市新店區,醫學中心,1131050515,佛教慈濟醫療財團法人台北慈濟醫院,3223,87,2.7
新竹縣竹北市,區域醫院,0433050018,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院,1451,39,2.69
新北市新莊區,地區醫院,0131060010,衛生福利部樂生療養院,593,15,2.53
臺北市大同區,區域醫院,0101090517,臺北市立聯合醫院,5075,119,2.34
新北市八里區,區域醫院,0131230012,衛生福利部八里療養院,92,2,2.17
宜蘭縣羅東鎮,區域醫院,1134020028,天主教靈醫會醫療財團法人羅東聖母醫院,1775,36,2.03
新北市板橋區,醫學中心,1131010011,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,5451,109,2.0
臺北市北投區,區域醫院,0501160014,三軍總醫院北投分院附設民眾診療服務處,503,9,1.79
臺北市大安區,醫學中心,1101020018,國泰醫療財團法人國泰綜合醫院,844,13,1.54
新北市三重區,區域醫院,0131020016,新北市立聯合醫院,1815,17,0.94
新北市新莊區,區域醫院,0131060029,衛生福利部臺北醫院,2272,18,0.79
臺北市松山區,區域醫院,1101010021,基督復臨安息日會醫療財團法人臺安醫院,937,1,0.11
臺北市北投區,區域醫院,1101160017,振興醫療財團法人振興醫院,2610,0,0.0
臺北市松山區,區域醫院,0501010019,三軍總醫院松山分院附設民眾診療服務處,788,0,0.0
臺北市北投區,區域醫院,1101160026,醫療財團法人辜公亮基金會和信治癌中心醫院,355,0,0.0
新北市永和區,地區醫院,1231030015,天主教耕莘醫療財團法人永和耕莘醫院,1027,0,0.0
新北市新莊區,地區醫院,1531061249,新泰綜合醫院,440,0,0.0
臺北市萬華區,地區醫院,0901190010,西園醫療社團法人西園醫院,314,0,0.0
新北市樹林區,地區醫院,1531071030,仁愛醫院,310,0,0.0
新北市三重區,地區醫院,1531021192,宏仁醫院,275,0,0.0
新北市金山區,地區醫院,0431270012,國立臺灣大學醫學院附設醫院金山分院,231,0,0.0
臺北市松山區,地區醫院,1501010010,博仁綜合醫院,110,0,0.0
臺北市北投區,地區醫院,0701160518,臺北市立關渡醫院-委託臺北榮民總醫院經營,48,0,0.0
臺北市大安區,地區醫院,0901020013,中山醫療社團法人中山醫院,12,0,0.0
臺北市大安區,地區醫院,1101020027,中心診所醫療財團法人中心綜合醫院,11,0,0.0
臺北市內湖區,地區醫院,1101110026,康寧醫療財團法人康寧醫院,5,0,0.0
臺北市大安區,地區醫院,1101020036,宏恩醫療財團法人宏恩綜合醫院,3,0,0.0
